2024-04-01 15:49:17,034 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Configure stats pid to 7636
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Loading settings from C:\Users\fatih\.config\wandb\settings
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Loading settings from C:\Users\fatih\PycharmProjects\model_implementation\wandb\settings
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program_abspath': 'C:\\Users\\fatih\\PycharmProjects\\model_implementation\\main.py', 'program': 'C:\\Users\\fatih\\PycharmProjects\\model_implementation\\main.py'}
2024-04-01 15:49:17,035 INFO    MainThread:7636 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-01 15:49:17,036 INFO    MainThread:7636 [wandb_init.py:_log_setup():527] Logging user logs to .\wandb\run-20240401_154917-2vt9nq4r\logs\debug.log
2024-04-01 15:49:17,036 INFO    MainThread:7636 [wandb_init.py:_log_setup():528] Logging internal logs to .\wandb\run-20240401_154917-2vt9nq4r\logs\debug-internal.log
2024-04-01 15:49:17,036 INFO    MainThread:7636 [wandb_init.py:init():567] calling init triggers
2024-04-01 15:49:17,036 INFO    MainThread:7636 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-04-01 15:49:17,036 INFO    MainThread:7636 [wandb_init.py:init():617] starting backend
2024-04-01 15:49:17,036 INFO    MainThread:7636 [wandb_init.py:init():621] setting up manager
2024-04-01 15:49:17,041 INFO    MainThread:7636 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-04-01 15:49:17,046 INFO    MainThread:7636 [wandb_init.py:init():629] backend started and connected
2024-04-01 15:49:17,051 INFO    MainThread:7636 [wandb_init.py:init():721] updated telemetry
2024-04-01 15:49:17,163 INFO    MainThread:7636 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-04-01 15:49:17,860 INFO    MainThread:7636 [wandb_run.py:_on_init():2344] communicating current version
2024-04-01 15:49:17,928 INFO    MainThread:7636 [wandb_run.py:_on_init():2353] got version response 
2024-04-01 15:49:17,928 INFO    MainThread:7636 [wandb_init.py:init():805] starting run threads in backend
2024-04-01 15:49:18,716 INFO    MainThread:7636 [wandb_run.py:_console_start():2323] atexit reg
2024-04-01 15:49:18,716 INFO    MainThread:7636 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-04-01 15:49:18,716 INFO    MainThread:7636 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-04-01 15:49:18,716 INFO    MainThread:7636 [wandb_run.py:_redirect():2268] Redirects installed.
2024-04-01 15:49:18,717 INFO    MainThread:7636 [wandb_init.py:init():848] run started, returning control to user process
2024-04-01 15:49:18,717 INFO    MainThread:7636 [wandb_watch.py:watch():51] Watching
2024-04-01 15:49:25,179 INFO    MainThread:7636 [wandb_run.py:_config_callback():1347] config_cb None None {'input_size': 1, 'hidden_size': 64, 'num_classes': 2}
2024-04-01 15:49:56,740 WARNING MsgRouterThr:7636 [router.py:message_loop():77] message_loop has been closed
